Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Tot_No_Bedrooms,Max_Age,Closest_city
158700.0,1.9911,50.0,2239.0,455.0,990.0,419.0,37.84,-122.26,6363.94801261769,1784.0,64.0,SanFrancisco
162900.0,2.6033,52.0,1503.0,298.0,690.0,275.0,37.84,-122.27,5976.28805827603,1205.0,67.0,SanFrancisco
147500.0,1.3578,40.0,751.0,184.0,409.0,166.0,37.85,-122.27,7016.67724394864,567.0,53.0,SanFrancisco
159800.0,1.7135,42.0,1639.0,367.0,929.0,366.0,37.85,-122.27,7016.67724394864,1272.0,55.0,SanFrancisco
113900.0,1.725,52.0,2436.0,541.0,1015.0,478.0,37.84,-122.27,5976.28805827603,1895.0,72.0,SanFrancisco
99700.0,2.1806,52.0,1688.0,337.0,853.0,325.0,37.84,-122.27,5976.28805827603,1351.0,74.0,SanFrancisco
132600.0,2.6,52.0,2224.0,437.0,1006.0,422.0,37.84,-122.27,5976.28805827603,1787.0,61.0,SanFrancisco
107500.0,2.4038,41.0,535.0,123.0,317.0,119.0,37.85,-122.28,6781.86317450868,412.0,51.0,SanFrancisco
93800.0,2.4597,49.0,1130.0,244.0,607.0,239.0,37.85,-122.28,6781.86317450868,886.0,65.0,SanFrancisco
105500.0,1.808,52.0,1898.0,421.0,1102.0,397.0,37.85,-122.28,6781.86317450868,1477.0,68.0,SanFrancisco
108900.0,1.6424,50.0,2082.0,492.0,1131.0,473.0,37.84,-122.28,5698.72690317439,1590.0,65.0,SanFrancisco
132000.0,1.6875,52.0,729.0,160.0,395.0,155.0,37.84,-122.28,5698.72690317439,569.0,70.0,SanFrancisco
122300.0,1.9274,49.0,1916.0,447.0,863.0,378.0,37.84,-122.28,5698.72690317439,1469.0,63.0,SanFrancisco
115200.0,1.9615,52.0,2153.0,481.0,1168.0,441.0,37.84,-122.28,5698.72690317439,1672.0,64.0,SanFrancisco
110400.0,1.7969,48.0,1922.0,409.0,1026.0,335.0,37.84,-122.27,5976.28805827603,1513.0,62.0,SanFrancisco
104900.0,1.375,49.0,1655.0,366.0,754.0,329.0,37.83,-122.27,4967.00519443677,1289.0,60.0,SanFrancisco
109700.0,2.7303,51.0,2665.0,574.0,1258.0,536.0,37.83,-122.27,4967.00519443677,2091.0,65.0,SanFrancisco
97200.0,1.4861,49.0,1215.0,282.0,570.0,264.0,37.83,-122.27,4967.00519443677,933.0,68.0,SanFrancisco
104500.0,1.0972,48.0,1798.0,432.0,987.0,374.0,37.83,-122.27,4967.00519443677,1366.0,66.0,SanFrancisco
103900.0,1.4103,52.0,1511.0,390.0,901.0,403.0,37.83,-122.28,4629.27324947942,1121.0,61.0,SanFrancisco
191400.0,3.48,52.0,1470.0,330.0,689.0,309.0,37.83,-122.26,5427.30174564534,1140.0,75.0,SanFrancisco
176000.0,2.5898,52.0,2432.0,715.0,1377.0,696.0,37.83,-122.26,5427.30174564534,1717.0,65.0,SanFrancisco
155400.0,2.0978,52.0,1665.0,419.0,946.0,395.0,37.83,-122.26,5427.30174564534,1246.0,63.0,SanFrancisco
150000.0,1.2852,51.0,936.0,311.0,517.0,249.0,37.83,-122.26,5427.30174564534,625.0,63.0,SanFrancisco
118800.0,1.025,49.0,713.0,202.0,462.0,189.0,37.84,-122.26,6363.94801261769,511.0,65.0,SanFrancisco
188800.0,3.9643,52.0,950.0,202.0,467.0,198.0,37.84,-122.26,6363.94801261769,748.0,59.0,SanFrancisco
184400.0,3.0125,52.0,1443.0,311.0,660.0,292.0,37.83,-122.26,5427.30174564534,1132.0,68.0,SanFrancisco
182300.0,2.6768,52.0,1656.0,420.0,718.0,382.0,37.83,-122.26,5427.30174564534,1236.0,64.0,SanFrancisco
142500.0,2.026,50.0,1125.0,322.0,616.0,304.0,37.83,-122.26,5427.30174564534,803.0,65.0,SanFrancisco
137500.0,1.7348,43.0,1007.0,312.0,558.0,253.0,37.82,-122.27,4012.37142896127,695.0,59.0,SanFrancisco
187500.0,0.9506,40.0,624.0,195.0,423.0,160.0,37.82,-122.26,4569.92738545906,429.0,55.0,SanFrancisco
112500.0,1.775,40.0,946.0,375.0,700.0,352.0,37.82,-122.27,4012.37142896127,571.0,56.0,SanFrancisco
171900.0,0.9218,21.0,896.0,453.0,735.0,438.0,37.82,-122.27,4012.37142896127,443.0,32.0,SanFrancisco
93800.0,1.5045,43.0,1868.0,456.0,1061.0,407.0,37.82,-122.27,4012.37142896127,1412.0,55.0,SanFrancisco
97500.0,1.1108,41.0,3221.0,853.0,1959.0,720.0,37.82,-122.27,4012.37142896127,2368.0,52.0,SanFrancisco
104200.0,1.2475,52.0,1630.0,456.0,1162.0,400.0,37.82,-122.27,4012.37142896127,1174.0,68.0,SanFrancisco
87500.0,1.6098,52.0,1170.0,235.0,701.0,233.0,37.82,-122.28,3585.76569534236,935.0,66.0,SanFrancisco
83100.0,1.4113,52.0,945.0,243.0,576.0,220.0,37.82,-122.28,3585.76569534236,702.0,70.0,SanFrancisco
87500.0,1.5057,52.0,1238.0,288.0,622.0,259.0,37.82,-122.28,3585.76569534236,950.0,61.0,SanFrancisco
85300.0,0.8172,52.0,1489.0,335.0,728.0,244.0,37.82,-122.28,3585.76569534236,1154.0,64.0,SanFrancisco
80300.0,1.2171,52.0,1387.0,341.0,1074.0,304.0,37.82,-122.28,3585.76569534236,1046.0,67.0,SanFrancisco
60000.0,2.5625,2.0,158.0,43.0,94.0,57.0,37.82,-122.29,3340.66007838528,115.0,18.0,SanFrancisco
75700.0,3.3929,52.0,1121.0,211.0,554.0,187.0,37.83,-122.29,4442.14980901594,910.0,64.0,SanFrancisco
75000.0,6.1183,49.0,135.0,29.0,86.0,23.0,37.82,-122.29,3340.66007838528,106.0,64.0,SanFrancisco
86100.0,0.9011,50.0,760.0,190.0,377.0,122.0,37.81,-122.29,2249.48592561738,570.0,63.0,SanFrancisco
76100.0,1.191,52.0,1224.0,237.0,521.0,159.0,37.81,-122.3,2214.98605591486,987.0,63.0,SanFrancisco
73500.0,2.5938,48.0,828.0,182.0,392.0,133.0,37.81,-122.3,2214.98605591486,646.0,65.0,SanFrancisco
78400.0,1.1667,52.0,1010.0,209.0,604.0,187.0,37.81,-122.3,2214.98605591486,801.0,67.0,SanFrancisco
84400.0,0.8056,48.0,1455.0,354.0,788.0,332.0,37.81,-122.3,2214.98605591486,1101.0,63.0,SanFrancisco
81300.0,2.6094,52.0,1027.0,244.0,492.0,147.0,37.8,-122.29,1197.17435507093,783.0,66.0,SanFrancisco
85000.0,1.8516,52.0,572.0,109.0,274.0,82.0,37.81,-122.3,2214.98605591486,463.0,66.0,SanFrancisco
129200.0,0.9802,46.0,2801.0,644.0,1823.0,611.0,37.81,-122.29,2249.48592561738,2157.0,58.0,SanFrancisco
82500.0,1.7719,26.0,768.0,152.0,392.0,127.0,37.81,-122.29,2249.48592561738,616.0,48.0,SanFrancisco
95200.0,0.7286,46.0,935.0,297.0,582.0,277.0,37.81,-122.29,2249.48592561738,638.0,61.0,SanFrancisco
75000.0,1.75,49.0,844.0,204.0,560.0,152.0,37.81,-122.29,2249.48592561738,640.0,62.0,SanFrancisco
67500.0,0.4999,46.0,12.0,4.0,18.0,7.0,37.81,-122.29,2249.48592561738,8.0,61.0,SanFrancisco
137500.0,2.483,20.0,835.0,161.0,290.0,133.0,37.81,-122.29,2249.48592561738,674.0,34.0,SanFrancisco
177500.0,0.9241,17.0,1237.0,462.0,762.0,439.0,37.81,-122.28,2599.63896101145,775.0,33.0,SanFrancisco
102100.0,2.4464,36.0,2914.0,562.0,1236.0,509.0,37.81,-122.28,2599.63896101145,2352.0,49.0,SanFrancisco
108300.0,1.1111,19.0,1207.0,243.0,721.0,207.0,37.81,-122.28,2599.63896101145,964.0,31.0,SanFrancisco
112500.0,0.8026,23.0,1745.0,374.0,1054.0,325.0,37.81,-122.29,2249.48592561738,1371.0,35.0,SanFrancisco
131300.0,2.0114,38.0,684.0,176.0,344.0,155.0,37.8,-122.28,1769.57399830806,508.0,55.0,SanFrancisco
162500.0,1.5,17.0,924.0,289.0,609.0,289.0,37.81,-122.28,2599.63896101145,635.0,35.0,SanFrancisco
112500.0,1.1667,52.0,210.0,56.0,183.0,56.0,37.81,-122.27,3162.27301203445,154.0,64.0,SanFrancisco
112500.0,1.5208,52.0,340.0,97.0,200.0,87.0,37.81,-122.28,2599.63896101145,243.0,64.0,SanFrancisco
137500.0,0.8075,52.0,386.0,164.0,346.0,155.0,37.81,-122.28,2599.63896101145,222.0,60.0,SanFrancisco
118800.0,1.8088,35.0,948.0,184.0,467.0,169.0,37.81,-122.28,2599.63896101145,764.0,45.0,SanFrancisco
98200.0,2.4083,52.0,773.0,143.0,377.0,115.0,37.81,-122.28,2599.63896101145,630.0,63.0,SanFrancisco
118800.0,0.977,40.0,880.0,451.0,582.0,380.0,37.81,-122.27,3162.27301203445,429.0,54.0,SanFrancisco
162500.0,0.76,10.0,875.0,348.0,546.0,330.0,37.81,-122.27,3162.27301203445,527.0,27.0,SanFrancisco
137500.0,0.9722,10.0,105.0,42.0,125.0,39.0,37.8,-122.27,2524.61461566918,63.0,23.0,SanFrancisco
500001.0,1.2434,52.0,249.0,78.0,396.0,85.0,37.8,-122.27,2524.61461566918,171.0,60.0,SanFrancisco
162500.0,2.0938,16.0,994.0,392.0,800.0,362.0,37.8,-122.27,2524.61461566918,602.0,29.0,SanFrancisco
137500.0,0.8668,52.0,215.0,87.0,904.0,88.0,37.8,-122.28,1769.57399830806,128.0,62.0,SanFrancisco
162500.0,0.75,52.0,96.0,31.0,191.0,34.0,37.8,-122.28,1769.57399830806,65.0,68.0,SanFrancisco
187500.0,2.6354,27.0,1055.0,347.0,718.0,302.0,37.79,-122.27,2284.78654341632,708.0,39.0,SanFrancisco
179200.0,1.8477,39.0,1715.0,623.0,1327.0,467.0,37.8,-122.27,2524.61461566918,1092.0,55.0,SanFrancisco
130000.0,2.0096,36.0,5329.0,2477.0,3469.0,2323.0,37.8,-122.26,3340.67161897622,2852.0,48.0,SanFrancisco
183800.0,2.8345,31.0,4596.0,1331.0,2048.0,1180.0,37.82,-122.26,4569.92738545906,3265.0,45.0,SanFrancisco
125000.0,2.0062,29.0,335.0,107.0,202.0,91.0,37.81,-122.26,3845.2217774209,228.0,43.0,SanFrancisco
170000.0,1.2185,22.0,3682.0,1270.0,2024.0,1250.0,37.82,-122.26,4569.92738545906,2412.0,34.0,SanFrancisco
193100.0,2.6104,37.0,3633.0,1085.0,1838.0,980.0,37.82,-122.26,4569.92738545906,2548.0,51.0,SanFrancisco
257800.0,2.4912,29.0,4656.0,1414.0,2304.0,1250.0,37.81,-122.25,4595.14987977277,3242.0,40.0,SanFrancisco
273400.0,3.2177,28.0,5806.0,1603.0,2563.0,1497.0,37.81,-122.25,4595.14987977277,4203.0,42.0,SanFrancisco
237500.0,3.125,39.0,854.0,242.0,389.0,228.0,37.81,-122.25,4595.14987977277,612.0,56.0,SanFrancisco
350000.0,2.5795,52.0,2155.0,701.0,895.0,613.0,37.81,-122.25,4595.14987977277,1454.0,69.0,SanFrancisco
335700.0,2.8406,34.0,5871.0,1914.0,2689.0,1789.0,37.81,-122.26,3845.2217774209,3957.0,55.0,SanFrancisco
313400.0,4.9306,52.0,1509.0,225.0,674.0,244.0,37.82,-122.24,5923.30723562356,1284.0,65.0,SanFrancisco
268500.0,3.2727,52.0,2026.0,482.0,709.0,456.0,37.81,-122.24,5384.14210717744,1544.0,68.0,SanFrancisco
259400.0,3.1691,52.0,1758.0,460.0,686.0,422.0,37.81,-122.25,4595.14987977277,1298.0,65.0,SanFrancisco
275700.0,3.9,52.0,3481.0,751.0,1444.0,718.0,37.82,-122.24,5923.30723562356,2730.0,66.0,SanFrancisco
225000.0,3.9063,28.0,3337.0,855.0,1520.0,802.0,37.82,-122.25,5216.61298549131,2482.0,42.0,SanFrancisco
262500.0,5.0917,52.0,1424.0,289.0,550.0,253.0,37.82,-122.25,5216.61298549131,1135.0,67.0,SanFrancisco
218500.0,2.6429,32.0,3809.0,1098.0,1806.0,1022.0,37.82,-122.25,5216.61298549131,2711.0,55.0,SanFrancisco
255000.0,3.0233,26.0,3959.0,1196.0,1749.0,1217.0,37.82,-122.25,5216.61298549131,2763.0,37.0,SanFrancisco
224100.0,3.1484,52.0,2376.0,559.0,939.0,519.0,37.83,-122.25,5981.93628131735,1817.0,64.0,SanFrancisco
243100.0,3.4722,35.0,1613.0,428.0,675.0,422.0,37.83,-122.25,5981.93628131735,1185.0,51.0,SanFrancisco
231600.0,3.1429,52.0,1279.0,287.0,534.0,291.0,37.83,-122.25,5981.93628131735,992.0,67.0,SanFrancisco
218500.0,2.4234,28.0,5022.0,1750.0,2558.0,1661.0,37.83,-122.25,5981.93628131735,3272.0,41.0,SanFrancisco
234100.0,3.0897,52.0,4190.0,1105.0,1786.0,1037.0,37.83,-122.25,5981.93628131735,3085.0,71.0,SanFrancisco
327600.0,5.8596,50.0,2515.0,399.0,970.0,373.0,37.84,-122.23,8006.9337455887,2116.0,65.0,SanFrancisco
347600.0,5.2868,47.0,3175.0,454.0,1098.0,485.0,37.84,-122.23,8006.9337455887,2721.0,62.0,SanFrancisco
366100.0,5.956,41.0,2576.0,406.0,794.0,376.0,37.83,-122.24,6607.19402132895,2170.0,61.0,SanFrancisco
335000.0,4.9643,37.0,334.0,54.0,98.0,47.0,37.85,-122.24,8259.08510932293,280.0,52.0,SanFrancisco
373600.0,6.3434,52.0,2800.0,411.0,1061.0,403.0,37.85,-122.23,8810.49828547664,2389.0,67.0,SanFrancisco
389500.0,5.1773,52.0,3529.0,574.0,1177.0,555.0,37.84,-122.24,7395.76357883113,2955.0,63.0,SanFrancisco
391100.0,7.2354,52.0,2612.0,365.0,901.0,367.0,37.85,-122.24,8259.08510932293,2247.0,68.0,SanFrancisco
337300.0,5.457,28.0,5287.0,1048.0,2031.0,956.0,37.85,-122.22,9411.71336422041,4239.0,43.0,SanFrancisco
295200.0,7.5,50.0,2935.0,473.0,1031.0,479.0,37.84,-122.22,8664.17575344934,2462.0,66.0,SanFrancisco
292300.0,6.0194,44.0,3424.0,597.0,1358.0,597.0,37.84,-122.21,9357.78709042734,2827.0,55.0,SanFrancisco
411500.0,7.5544,40.0,4991.0,674.0,1616.0,654.0,37.83,-122.21,8748.16138905638,4317.0,52.0,SanFrancisco
311500.0,6.0666,30.0,2211.0,346.0,844.0,343.0,37.84,-122.2,10080.2629475809,1865.0,47.0,SanFrancisco
325900.0,7.0548,34.0,3038.0,490.0,1140.0,496.0,37.84,-122.21,9357.78709042734,2548.0,53.0,SanFrancisco
392600.0,11.6017,18.0,1617.0,210.0,533.0,194.0,37.84,-122.19,10825.8259229329,1407.0,30.0,SanFrancisco
319300.0,7.4882,35.0,2865.0,460.0,1072.0,443.0,37.84,-122.2,10080.2629475809,2405.0,43.0,SanFrancisco
333300.0,6.8976,34.0,5065.0,788.0,1627.0,766.0,37.83,-122.21,8748.16138905638,4277.0,45.0,SanFrancisco
335200.0,8.2049,28.0,1326.0,184.0,463.0,190.0,37.83,-122.19,10303.6241568699,1142.0,38.0,SanFrancisco
351200.0,8.401,26.0,1589.0,223.0,542.0,211.0,37.83,-122.2,9517.12943476246,1366.0,38.0,SanFrancisco
368900.0,6.8538,29.0,1791.0,271.0,661.0,269.0,37.83,-122.19,10303.6241568699,1520.0,38.0,SanFrancisco
365900.0,8.317,32.0,1835.0,264.0,635.0,263.0,37.82,-122.19,9879.4582441999,1571.0,49.0,SanFrancisco
366700.0,7.0175,37.0,1229.0,181.0,420.0,176.0,37.82,-122.2,9056.08442765898,1048.0,50.0,SanFrancisco
362800.0,6.3302,39.0,3770.0,534.0,1265.0,500.0,37.82,-122.2,9056.08442765898,3236.0,54.0,SanFrancisco
483300.0,6.3624,30.0,292.0,38.0,126.0,52.0,37.81,-122.18,9430.44816519297,254.0,46.0,SanFrancisco
331400.0,7.0549,52.0,2375.0,333.0,813.0,350.0,37.82,-122.21,8244.10925029415,2042.0,65.0,SanFrancisco
323500.0,6.7851,45.0,2964.0,436.0,1067.0,426.0,37.81,-122.2,8713.34829677824,2528.0,62.0,SanFrancisco
216700.0,2.8929,50.0,2833.0,605.0,1260.0,552.0,37.8,-122.21,7632.42688548035,2228.0,65.0,SanFrancisco
233100.0,3.0812,38.0,2254.0,535.0,951.0,487.0,37.8,-122.21,7632.42688548035,1719.0,56.0,SanFrancisco
296400.0,5.2402,52.0,1389.0,212.0,510.0,224.0,37.81,-122.21,7865.95246331904,1177.0,64.0,SanFrancisco
273700.0,6.5217,52.0,1971.0,335.0,765.0,308.0,37.81,-122.22,7026.22866235321,1636.0,65.0,SanFrancisco
227700.0,3.2632,52.0,2183.0,465.0,1129.0,460.0,37.8,-122.22,6763.64753654356,1718.0,69.0,SanFrancisco
199600.0,3.0298,52.0,2286.0,464.0,1073.0,441.0,37.8,-122.22,6763.64753654356,1822.0,66.0,SanFrancisco
239800.0,4.5428,52.0,2721.0,541.0,1185.0,515.0,37.8,-122.22,6763.64753654356,2180.0,67.0,SanFrancisco
270100.0,4.072,52.0,2024.0,339.0,756.0,340.0,37.81,-122.22,7026.22866235321,1685.0,66.0,SanFrancisco
302100.0,5.3509,52.0,2944.0,536.0,1034.0,521.0,37.81,-122.22,7026.22866235321,2408.0,64.0,SanFrancisco
269500.0,3.1603,52.0,2033.0,486.0,787.0,459.0,37.8,-122.23,5897.79929046248,1547.0,65.0,SanFrancisco
314700.0,4.7708,52.0,1433.0,229.0,612.0,213.0,37.81,-122.23,6197.29633514239,1204.0,65.0,SanFrancisco
390100.0,8.1564,52.0,2927.0,402.0,1021.0,380.0,37.81,-122.22,7026.22866235321,2525.0,67.0,SanFrancisco
410300.0,8.8793,52.0,2315.0,292.0,861.0,258.0,37.81,-122.23,6197.29633514239,2023.0,62.0,SanFrancisco
352400.0,6.8591,52.0,2485.0,313.0,953.0,327.0,37.81,-122.24,5384.14210717744,2172.0,64.0,SanFrancisco
287300.0,6.0302,52.0,1490.0,238.0,634.0,256.0,37.81,-122.24,5384.14210717744,1252.0,66.0,SanFrancisco
348700.0,7.508,52.0,2814.0,365.0,878.0,352.0,37.81,-122.23,6197.29633514239,2449.0,66.0,SanFrancisco
243800.0,2.7477,52.0,2093.0,550.0,918.0,483.0,37.81,-122.24,5384.14210717744,1543.0,71.0,SanFrancisco
211500.0,2.1944,52.0,888.0,168.0,360.0,175.0,37.8,-122.24,5036.39411717906,720.0,72.0,SanFrancisco
218400.0,3.0149,52.0,2087.0,510.0,1197.0,488.0,37.8,-122.25,4182.1783564641,1577.0,68.0,SanFrancisco
269900.0,3.675,52.0,2513.0,502.0,1048.0,518.0,37.81,-122.24,5384.14210717744,2011.0,68.0,SanFrancisco
218800.0,3.225,46.0,3232.0,835.0,1373.0,747.0,37.81,-122.25,4595.14987977277,2397.0,66.0,SanFrancisco
225000.0,2.9345,42.0,4120.0,1065.0,1715.0,1015.0,37.8,-122.25,4182.1783564641,3055.0,58.0,SanFrancisco
250000.0,2.1429,43.0,2364.0,792.0,1359.0,722.0,37.8,-122.25,4182.1783564641,1572.0,58.0,SanFrancisco
171400.0,1.6121,41.0,1471.0,469.0,1062.0,413.0,37.8,-122.25,4182.1783564641,1002.0,60.0,SanFrancisco
193800.0,1.3929,29.0,2468.0,864.0,1335.0,773.0,37.8,-122.25,4182.1783564641,1604.0,41.0,SanFrancisco
125000.0,2.3173,27.0,1632.0,492.0,1171.0,429.0,37.79,-122.24,4920.81365501877,1140.0,45.0,SanFrancisco
97500.0,1.7772,45.0,1786.0,526.0,1475.0,460.0,37.79,-122.25,4042.11469450141,1260.0,58.0,SanFrancisco
125000.0,2.6458,50.0,629.0,188.0,742.0,196.0,37.79,-122.25,4042.11469450141,441.0,65.0,SanFrancisco
138800.0,2.181,52.0,1339.0,391.0,1086.0,363.0,37.79,-122.25,4042.11469450141,948.0,66.0,SanFrancisco
116700.0,2.2303,36.0,1678.0,606.0,1645.0,543.0,37.8,-122.25,4182.1783564641,1072.0,51.0,SanFrancisco
151800.0,1.6504,43.0,2344.0,647.0,1710.0,644.0,37.8,-122.25,4182.1783564641,1697.0,55.0,SanFrancisco
127000.0,2.2697,52.0,996.0,228.0,731.0,228.0,37.8,-122.24,5036.39411717906,768.0,65.0,SanFrancisco
128600.0,2.1563,52.0,1591.0,373.0,1118.0,347.0,37.8,-122.24,5036.39411717906,1218.0,68.0,SanFrancisco
140600.0,2.1348,52.0,1586.0,398.0,1006.0,335.0,37.8,-122.24,5036.39411717906,1188.0,72.0,SanFrancisco
182700.0,2.6292,47.0,2046.0,588.0,1213.0,554.0,37.8,-122.24,5036.39411717906,1458.0,61.0,SanFrancisco
146900.0,2.3833,52.0,1192.0,289.0,772.0,257.0,37.8,-122.23,5897.79929046248,903.0,63.0,SanFrancisco
122800.0,2.957,52.0,1803.0,420.0,1321.0,401.0,37.8,-122.24,5036.39411717906,1383.0,65.0,SanFrancisco
169300.0,2.5238,49.0,2838.0,749.0,1487.0,677.0,37.8,-122.24,5036.39411717906,2089.0,63.0,SanFrancisco
126600.0,1.9375,52.0,783.0,184.0,488.0,186.0,37.8,-122.23,5897.79929046248,599.0,68.0,SanFrancisco
127900.0,1.9028,51.0,1590.0,414.0,949.0,392.0,37.8,-122.23,5897.79929046248,1176.0,63.0,SanFrancisco
123500.0,2.25,50.0,1746.0,480.0,1149.0,415.0,37.8,-122.23,5897.79929046248,1266.0,62.0,SanFrancisco
111900.0,2.3929,52.0,1252.0,299.0,844.0,280.0,37.8,-122.23,5897.79929046248,953.0,69.0,SanFrancisco
112800.0,2.1917,43.0,5963.0,1344.0,4367.0,1231.0,37.79,-122.23,5799.52176777353,4619.0,58.0,SanFrancisco
107900.0,2.9357,52.0,1783.0,395.0,1659.0,412.0,37.79,-122.23,5799.52176777353,1388.0,70.0,SanFrancisco
137500.0,1.8854,30.0,999.0,264.0,1011.0,263.0,37.79,-122.23,5799.52176777353,735.0,49.0,SanFrancisco
105500.0,2.1638,39.0,1469.0,431.0,1464.0,389.0,37.79,-122.24,4920.81365501877,1038.0,49.0,SanFrancisco
95500.0,2.125,47.0,1372.0,395.0,1237.0,303.0,37.79,-122.24,4920.81365501877,977.0,60.0,SanFrancisco
116100.0,3.375,52.0,674.0,180.0,647.0,168.0,37.79,-122.24,4920.81365501877,494.0,74.0,SanFrancisco
112200.0,2.2542,43.0,1626.0,376.0,1284.0,357.0,37.79,-122.24,4920.81365501877,1250.0,59.0,SanFrancisco
75000.0,2.1,51.0,175.0,43.0,228.0,55.0,37.79,-122.25,4042.11469450141,132.0,65.0,SanFrancisco
112500.0,1.6,39.0,461.0,129.0,381.0,123.0,37.79,-122.25,4042.11469450141,332.0,52.0,SanFrancisco
125000.0,3.625,52.0,902.0,237.0,846.0,227.0,37.79,-122.25,4042.11469450141,665.0,66.0,SanFrancisco
115000.0,1.6929,20.0,2373.0,779.0,1659.0,676.0,37.8,-122.26,3340.67161897622,1594.0,32.0,SanFrancisco
95000.0,1.6471,52.0,391.0,128.0,520.0,138.0,37.77,-122.22,4226.27769924116,263.0,64.0,SanFrancisco
96400.0,2.59,52.0,1137.0,301.0,866.0,259.0,37.77,-122.22,4226.27769924116,836.0,66.0,SanFrancisco
72000.0,2.57,52.0,769.0,206.0,612.0,183.0,37.77,-122.23,4276.79661607913,563.0,68.0,SanFrancisco
71300.0,2.6429,52.0,472.0,146.0,415.0,126.0,37.78,-122.23,5377.37195161567,326.0,67.0,SanFrancisco
80800.0,3.0257,52.0,862.0,215.0,994.0,213.0,37.78,-122.23,5377.37195161567,647.0,64.0,SanFrancisco
128800.0,1.4886,50.0,1920.0,530.0,1525.0,477.0,37.78,-122.22,5337.28592845899,1390.0,57.0,SanFrancisco
112500.0,1.9338,43.0,1420.0,472.0,1506.0,438.0,37.78,-122.23,5377.37195161567,948.0,58.0,SanFrancisco
119400.0,1.4844,52.0,986.0,258.0,1008.0,255.0,37.78,-122.23,5377.37195161567,728.0,70.0,SanFrancisco
118100.0,1.6009,44.0,2340.0,825.0,2813.0,751.0,37.78,-122.23,5377.37195161567,1515.0,53.0,SanFrancisco
122500.0,2.0375,48.0,1696.0,396.0,1481.0,343.0,37.79,-122.23,5799.52176777353,1300.0,64.0,SanFrancisco
106300.0,2.293,49.0,1175.0,217.0,859.0,219.0,37.79,-122.23,5799.52176777353,958.0,59.0,SanFrancisco
132500.0,2.1494,37.0,2343.0,574.0,1608.0,523.0,37.79,-122.22,6448.61855862843,1769.0,49.0,SanFrancisco
122700.0,1.6198,30.0,610.0,145.0,425.0,140.0,37.79,-122.23,5799.52176777353,465.0,45.0,SanFrancisco
113300.0,1.3281,40.0,930.0,199.0,564.0,184.0,37.79,-122.23,5799.52176777353,731.0,54.0,SanFrancisco
109500.0,3.5156,44.0,1487.0,314.0,961.0,272.0,37.79,-122.22,6448.61855862843,1173.0,62.0,SanFrancisco
164700.0,3.9048,52.0,3424.0,690.0,2273.0,685.0,37.79,-122.22,6448.61855862843,2734.0,68.0,SanFrancisco
125000.0,3.0893,52.0,762.0,190.0,600.0,195.0,37.79,-122.21,6534.58334406559,572.0,69.0,SanFrancisco
